County,All_2013,All_2014,All_2015,Private-goods-producing-2013,Private-goods-producing-2014,Private-goods-producing-2015,Private services-providing-2013,Private services-providing-2014,Private services-providing-2015,Gov-2013,Gov-2014,Gov-2015
Mitchell,13.1,-6.2,-5.1,22.9,-20.6,-15.4,10.9,4.6,1.4,0.8,-2.6,-5
Montgomery,-2,-2.4,-6.9,-4.1,-2,-10.2,-1,-2.7,-4.6,0.9,-2.1,-6.3
Morris,6.8,0.3,-0.5,25.5,-17.4,-1.5,-7.5,22.5,3,0.6,-2.5,-8.3
Morton,7.8,-2.6,-9.4,5,-24.4,0.2,17.1,40,-14.7,3,-12.2,-13.4
Nemaha,11.8,1.3,1.9,26.2,-0.6,2.7,4.7,3.2,2.8,-1.9,-0.8,-6.8
Neosho,-2.4,-7.5,-5.6,-0.3,-9.6,-8.3,-3.4,-6.3,-3.7,-3.5,-6.7,-5.5
Ness,5.8,3.2,-12.3,10.8,-4.1,-19.7,2.3,14.5,-9.1,0.2,0.4,-2.5
Norton,13.1,-4.4,-2.5,36.8,-8.6,-2.5,3.4,-1.6,-1.3,-1.3,-2,-4.8
Osage,7.5,-6.6,-3.5,18.1,-14.9,-3.6,6.8,-3.1,-2.2,-0.9,-4,-5.8
Osborne,-2.1,-7.2,-3.3,19,-20.8,-0.2,-14.5,1.3,-4.4,2,-2.3,-4.5
Ottawa,13.9,-8.4,-0.3,27.9,-18.8,-2.3,6.2,-1.4,4.8,2.3,1,-7.8
Pawnee,7.8,-12.8,-6.7,15.2,-27.7,-19,3.9,-1.1,6.8,1.9,-2.5,-5.9
Phillips,20.5,-4.7,6.4,12.2,-6.8,2.2,33.3,-4.5,11.9,3.8,-1.8,-3.6
Pottawatomie,4.9,-7.8,3.3,-3,10.2,9.4,7.6,-13.5,1.9,2.8,0.9,-4.6
Pratt,9,-1.9,-5.6,23.5,-9.1,-15.6,0.3,5.1,1.2,5,-6.1,-7.2
Rawlins,8.3,-3,2.4,29,-15.8,-3.3,-3.1,9.5,8.1,-1,-6.3,-4.9
Reno,5.7,0.5,-0.7,9.5,-8.1,-2.4,5.6,4.5,0.3,0.4,-1.5,-2.3
Republic,11,-11.8,-3.8,25.1,-18.4,-1.1,0,-5.7,-6.6,-6.3,-1.5,-4.7
Rice,6.9,-8.4,3.7,3.7,-12,2.9,13.6,-7.3,6.9,0.2,-0.2,-2.6
Riley,0.3,1.3,0.2,0.5,-9.6,6.3,2,2.2,2.5,-2.5,2.2,-4.8
Rooks,7.1,0.3,-7.9,13.2,-6.2,-13.1,3.7,6.3,-5.7,2.7,0.4,-3.9
Rush,5.2,-6.6,-6.1,3.6,-13.3,-9.1,8.9,0.1,-3.4,1.5,-1.2,-5
Russell,11.7,-2.8,0.3,4.9,-8.3,-14.2,24.9,3.1,15.3,0.9,-1.3,-6.8
Saline,0,2.9,2.4,2.7,8.4,5.6,-1.4,1.3,2,1.2,-1.7,-3.8
Scott,15.2,-21.3,-9.9,19,-29.3,-14.4,6.9,1,-1.9,1.1,-4.3,-6.1
Sedgwick,-7.3,5.3,4.6,-22.4,14,10.5,0.5,2.2,2.9,-1.6,0,-2.2
Seward,6,7.1,-2.8,8.5,17.9,-5.9,5.4,-4.3,1.9,-1.4,-0.2,-2.3
Shawnee,-3.2,-1.7,-1.2,-4.1,-4.2,-0.8,-3,-1.7,-0.9,-3.4,0.4,-2.7
Sheridan,20.7,-15.2,8.3,34.8,-22.8,-1.9,-4.1,0.6,31.5,2.9,2.6,-1.3
Sherman,10,-4.6,-1.5,22.9,-22.9,-1.5,6.5,4.8,-1.2,0.9,-0.5,-2.1
Smith,9.2,-5.6,-5.1,23,-12.8,-1.9,0.8,1,-7.3,-3,-2.5,-6.5
Stafford,4.6,-6,-2.8,6.3,-11.8,-3.4,2.1,10.1,-1.4,1,-1.7,-3
Stanton,17.8,-14.1,7.7,24.2,-23.4,-1.4,16.5,-8.6,19.4,0.6,3.6,-2.1
Stevens,39.6,-11.4,-6.2,71.6,-15.4,-10,4.9,-5.9,2.2,0.3,-1.6,-5.1
Sumner,-0.3,-0.8,2,-3,-5.1,0.9,1.1,1.9,4.4,-0.1,-1.9,-4
Thomas,8.7,-6.9,0.3,19.8,-22.9,-5.9,4.5,0.9,3.9,3.5,-4.4,-6.7
Trego,4.5,4.1,-6.3,-0.6,-11.5,-7.3,10,18.8,-7.2,3.1,0.3,-3.1
Wabaunsee,8.8,-2.1,4.4,14.5,-11.7,2.4,7.8,8.6,10.5,-0.8,-1.6,-5
Wallace,17.8,-5.9,-0.4,(D),(D),-0.6,(D),(D),1.2,1.7,1.7,-6.2
Washington,11.6,-14.2,-1.4,24.5,-20.8,-0.2,2.9,-10.6,-1,-2,-2.6,-4.5
Wichita,23.8,-13.2,-0.5,34.8,-21.7,2.6,-1.5,14.9,-6.5,0.2,1.6,-3.8
Wilson,-6.8,-0.1,-0.1,-12.2,3.1,1.8,-2.9,-4,0.3,0.5,-0.7,-5
Woodson,6,-9.3,-1.5,12.3,-17.2,3,-1.7,-2.2,-5.4,2.8,1.2,-4.2
Wyandotte,-6.6,15.6,5.8,-25.2,25.8,-3.7,10.1,13.4,13.1,-7.3,-1.2,-1.6
Adair,3.8,-5.3,2,26.6,-3.4,10.4,-1.7,-6.1,0.3,-2,-5,-3.3
Allen,28.3,-7.5,-9.3,14.1,-9.9,8.6,46,-7,-19.7,-0.7,-3.1,-2.8
Anderson,3.7,-6.7,-2.9,5.7,-18.2,-5.3,2.6,7.1,-0.1,0,-4.6,-4.5
Ballard,-5.7,0,-5.4,8.5,6.2,-5.4,-28.1,-12.9,-5.2,-1.8,-3.4,-5.9
Barren,-4.2,-3.8,-5,-1,-3.8,-4.3,-7.3,-3.5,-5.9,-0.7,-4.8,-3.5
Bath,8.3,-3.8,3.7,24.2,-0.8,14.6,3.1,-7.8,-1.6,-1.7,-1.2,-3.5
