County,All_2013,All_2014,All_2015,Private-goods-producing-2013,Private-goods-producing-2014,Private-goods-producing-2015,Private services-providing-2013,Private services-providing-2014,Private services-providing-2015,Gov-2013,Gov-2014,Gov-2015
Autauga,-4.4,-0.7,7.6,4.4,3.9,4.7,-7.2,-2.2,9.9,-4,-1.5,0.3
Baldwin,11.1,0.5,-4.3,-1,-1.2,2.1,14.7,0.9,-5.9,-0.7,-1.1,2.2
Barbour,7.5,-3.5,6.8,18.4,-5.8,9,2.5,-1.5,8,-4.8,-2.4,-1.9
Bibb,5.7,-2.8,-4.5,9.9,-11,-6.8,8.7,4.5,-5.9,-3.8,-2.8,0.9
Blount,8.1,-3.3,17.7,22.6,-12.1,0.1,4.3,2.9,35.1,-3.4,-3.4,-1
Bullock,-3,-8,-0.5,4.5,-15.6,3.2,-9.8,-4.2,-2.8,-2.4,-2.1,-2
Butler,-0.7,-4.4,4.7,-14,-10.1,3.4,9.3,-1.7,6.4,-2.7,-1.5,-0.4
Calhoun,-3.8,-3.5,-0.8,-6.4,-15.1,-4.2,0.2,0.1,0.4,-8.6,0.8,-0.3
Chambers,8.1,6.6,2,16.5,-0.6,14.3,6.2,4.7,-5.3,-2.7,31,-0.1
Cherokee,5.3,-6.8,-5.3,14.6,-14.2,-7.6,1.2,-3,-5.2,-1.6,-1.2,-1.1
Chilton,6.9,-3.5,0.2,12.1,-6,-1.6,6.3,-1.6,2.1,-3,-3,-1.2
Choctaw,-6.8,2.6,-6.1,-5.2,3,-4.2,-11.2,3.6,-11.8,-3.7,-6.1,-0.9
Clarke,1.1,0.3,0.9,0.3,-1,-0.8,3.9,2.9,3.8,-3,-2.2,-1.7
Clay,12.5,0,1.6,20.1,2.4,4.9,15.6,-3.2,-4.1,-6.3,-0.8,2.3
Cleburne,-0.7,2.7,11.4,17.5,0,3.1,-23.9,11.8,35.1,-3.6,-1.8,-1.5
Coffee,0.4,2.2,11.3,13.7,8.1,7.2,-3.9,0.2,16.3,-3.9,-1.3,0.6
Colbert,10.3,4.5,4.3,30.3,9.3,10.9,-2.5,0.4,0.5,-4.3,-0.4,-7.9
Conecuh,0.8,-3.8,-1.1,9.1,-5.6,-0.9,-2.7,-3,0.2,-3.5,-2.6,-4.8
Coosa,4.4,4.1,-2.3,-0.5,(D),(D),15.4,(D),(D),-2.7,-6,-2.8
Covington,4.5,-2.4,0.2,15.8,-4.7,-5.3,1.3,-1.1,2.7,-3.4,-3.2,0.8
Crenshaw,8,-10.1,1.7,18.3,-17.5,1.6,-4.5,1.6,2.1,-2.3,-3.1,1.1
Cullman,2.8,-2.1,-0.7,6.8,-9.2,-1.2,0.7,3.1,-0.7,-0.9,-1.1,0.8
Dale,2.3,-4.6,-0.5,5.8,-21.2,0,16.4,2.5,-1.2,-4.2,0.1,-0.3
Dallas,-1.1,-2,-4.4,-0.9,-4.4,-10,0,0.7,0,-4.6,-3,-2.2
DeKalb,13.7,-1.9,1.7,22.7,-11.8,-1.7,10.5,8.1,5,-3.1,-1.2,-0.1
Elmore,7.2,0.9,1.7,0.9,-5.1,3.5,13.1,1.9,1.3,-0.9,6.1,0.8
Escambia,-1.7,-2.2,-1.9,-4.1,-5.6,-4,-0.7,-1.1,-1.6,0.5,1.3,0.4
Etowah,-1,-2,0.3,-3.1,-7.4,-3.2,0.1,0.3,1.7,-2.9,-3.5,-0.8
Fayette,1.2,-1,0.5,8.4,-2.5,2.5,-1.4,2.2,-0.7,-2.5,-4,-0.1
Franklin,8.4,-9.6,-0.5,15.1,-16,3.6,5.3,-4.7,-6,-3.2,-0.8,0.8
Geneva,5.9,-2.9,4.5,34.6,-9.2,12.3,-5,2.6,1.6,-4,-5.1,0.2
Greene,-6.7,-2.7,-11.3,-1.5,(D),(D),-11.1,(D),(D),-3.1,2.3,-0.2
Hale,16.6,-8.2,3.7,39.5,-14.7,11.1,0.9,-0.9,-3.3,-2.5,-2,-1.5
Henry,11.9,2.5,-0.9,17.2,-8.6,6.1,13.5,12.3,-5,-3.5,-1.4,-1.6
Houston,1,-1.4,-1.8,-4.4,-15.5,-12.1,2.5,0.7,-0.4,-0.4,2,0.1
Jackson,3.3,-1.4,-7.2,15.6,-0.6,-5.2,-1.3,-1.9,-8.9,-8.1,-1.8,-7.4
Jefferson,-2.3,-2.5,0.6,-0.5,-9.6,-3.1,-2.8,-1.5,1.2,-1.5,0,1.1
Lamar,-3.8,-3.7,-4.1,3.2,-14.3,-0.6,-9.2,5.9,-7.6,-3.9,-3.7,-0.8
Lauderdale,3.3,-2.2,-2.2,11.2,-11.2,-7.5,2.1,0.8,-1.2,-2,-2.1,0.3
Lawrence,-6.8,-13.5,-18.8,-16,-17.9,-39.7,7.3,-11.4,0.4,-2,-3.3,-3.4
Lee,11.5,3.8,10.6,42.1,1.2,28.7,3.3,7.3,4.5,-0.5,0.2,0.6
Limestone,5.8,4.4,5.4,7.9,12.7,15.6,8.4,1.6,3.4,-2.3,3.9,0.1
Lowndes,7.3,-5.8,-6.6,12.2,-7.4,-9.2,-0.6,-1,-1.2,-4.2,-5.9,-1.8
Macon,0.2,-8.9,-2.9,0.5,-29.3,-13.8,-3.3,-9.8,-3,2,-2.7,-0.6
Madison,0.4,1.2,0.9,-3.6,-1,-4.6,2.1,2.1,2.6,-0.7,0.3,0.3
Marengo,2.3,1.9,-1.1,-2.5,3.8,-2.5,11.3,3.3,0.7,-5.3,-6.7,-2.2
Marion,6.4,-7.2,-0.3,13,-14.7,-0.5,3.4,-0.6,-0.5,-3.5,-3.5,0.6
Marshall,8,-4.8,1.4,21.5,-10.4,3.1,1.5,-1,0.1,-2.3,-1.3,1.1
Mobile,-2.2,-1.9,-0.2,-1,-1.6,-5.6,-2.3,-2,2.1,-3.9,-2.1,-0.8
Monroe,-11.7,6,18,-26.4,3.7,1.9,-0.9,10.4,32.1,-6.4,-3.6,1.5
Montgomery,0.3,0,2.3,21.2,-3.7,1.9,-2.5,1.1,3.6,-3,-0.5,-0.6
Morgan,2.2,0.6,0.3,12.9,3.6,-0.8,-4.6,-0.8,1.6,-3.8,-4.6,-0.9
Perry,-1.5,-4.1,-2.5,-8.3,(D),(D),7.3,(D),(D),-2.8,-6.2,0.2
Pickens,20,2.2,2.9,38.9,-9.1,9.7,-3.6,4.8,-1.7,38.8,17.7,0.4
Pike,-0.8,6.5,6,-2.4,4.5,9.6,1.8,7.8,5.1,-5.3,6.3,3.1
Randolph,9.5,-7.7,0.5,32.7,-11.1,-0.7,-0.9,-6.7,1.3,-3.7,-2.9,0.8
Russell,-1.1,11.8,5.1,1.4,33.1,10.5,-3.2,-0.9,1.2,-0.4,-0.5,-0.4
St. Clair,7.7,-0.2,1.1,6,-4.7,-0.3,11.2,2.6,2.4,-1.6,-0.9,-0.7
Shelby,2.1,3.7,9.6,14,-0.2,10.8,0.7,4.7,9.9,-1.2,-0.5,3.5
Sumter,1.5,0.9,-6.1,3,3.4,-7.7,4.5,2,-8.8,-3.2,-2.4,-1.1
Talladega,12.8,-1.2,-0.5,23.6,-1.9,-5.1,6.4,0.2,6.2,-5,-2.5,-1
Tallapoosa,-2.2,5.3,1.4,-6.1,1.8,8.5,-0.5,8.2,-0.5,-3.1,-2,-1.3
Tuscaloosa,-2.1,-6.6,-0.1,2,-14,-1.4,-6,-2.6,0.1,-0.9,-0.4,1.8
Walker,1.4,0,-2.2,2.2,-7.2,-2.8,1.9,3.6,-2.3,-2.5,-3.6,-0.7
Washington,1.1,6.7,-14.4,5.7,10.1,-19.4,-8,1.2,-4.1,-3.1,-4,-2.3
Wilcox,0.5,5.4,1.4,6.1,9.5,3.8,-4.8,3.8,-1.2,-4,-4.4,-1.2
Winston,5.8,-6,1.9,7.9,-11.3,2.9,6.6,-0.1,1.1,-2.6,-4.2,0.7
Aleutians East Borough,20.3,-0.1,23.2,26.4,-5.3,39.6,24.2,12.3,-3.3,-3.5,7,-6.1
Aleutians West Census Area,9.8,-5.1,2.1,18.1,-10.2,11.2,4.7,-0.7,-6.6,-3,1.3,-3.3
Anchorage Municipality,-5.2,-4.1,1.9,-13.4,-12.7,4.2,-1,-0.8,2.3,-3.7,-0.4,-2.3
Bethel Census Area,-3.6,-2.7,-2.4,62.2,-19.1,38.4,-6,-4.1,-6.8,-5.9,2.9,-0.1
Bristol Bay Borough,10.6,-5.3,-4.4,13.6,-2.9,-0.3,17.9,-11.4,-7.6,-6.3,2.6,-6.2
Denali Borough,-9,0.9,-7,-11.8,-0.4,-19.4,-8.2,2.1,-0.6,-4.2,0.1,-2.4
Dillingham Census Area,5.8,3.1,-3.4,5.8,-2.6,28.7,9.7,3.5,-11.6,-3.4,6.1,-4.6
Fairbanks North Star Borough,-0.4,3.3,0.5,0.4,12,-9,4.2,3.7,2.5,-6.8,-1.4,2.2
Haines Borough,11.1,-0.8,-2.8,17,-16.7,17,14.7,7.1,-9.6,-1.5,-1.8,-3.9
Hoonah-Angoon Census Area,11.2,-1.7,17.7,66.9,-5.9,114.3,23,-5.9,-0.4,-4.4,1.1,0.7
Juneau City and Borough,-0.6,1.2,-3.2,2.4,-1.3,-9.2,0.1,2.9,-0.3,-3.5,1.2,-2.3
Kenai Peninsula Borough,7.5,-1.7,0.1,5.9,-3.6,6.1,12.7,-1.9,-4.8,-2.3,4.4,-0.6
Ketchikan Gateway Borough,-6.8,0.5,0.9,-20.4,-8.3,8.9,-2.6,2.8,-0.5,-4.5,1.8,-1.1
Kodiak Island Borough,5.2,3.6,2.3,6.5,3.3,17.7,11.4,8.9,-5.4,-3.5,-3,-5.6
Kusilvak Census Area,-3.1,4.4,-4.7,-6.9,11.5,10.5,4.3,-9.7,-13.9,-6,10.4,-2.2
Lake and Peninsula Borough,3.2,1.3,3.5,-9,-5.1,17.8,27,3.6,-4,-11.1,1.9,5.9
Matanuska-Susitna Borough,-1,3.4,3.2,-9.1,-2,14.8,0.4,3.2,1.1,0.7,7.9,1.9
Nome Census Area,-1.9,2.6,-3.9,-5.7,6.9,10.6,1.1,0.6,-8.2,-4.7,4.1,-2.5
North Slope Borough,-18.7,-9,-1.2,-20.3,-10.3,-2.5,-5.5,-1.8,5.1,-3.4,6.6,0.1
Northwest Arctic Borough,6.3,-1.2,-9.9,6.5,-0.8,-15.6,9.4,-5.6,-4.1,-0.8,6.6,0
Petersburg Borough,-10.3,2.9,27.2,-14.8,0.5,96.2,-1.1,3,15.8,-12.8,4.8,-2.8
Prince of Wales-Hyder Census Area,8,-1.6,3.9,23.2,-10.7,18.5,-0.1,-1,-2.4,0.1,10,2.2
Sitka City and Borough,2.7,3.3,-0.3,23.7,2.9,0.3,-0.5,2.1,0.8,-2.3,5.6,-2.5
Skagway Municipality,14.2,-9.8,7.8,-14.9,-32.7,58.6,26.6,-13.4,-7,-1.9,9.1,-0.5
Southeast Fairbanks Census Area,4.5,-2.8,-10.9,5.1,-5.1,-15.8,10.1,1.8,-6.2,-5.3,-0.2,-1.1
Valdez-Cordova Census Area,-4,3,4.7,26.9,19.3,25.2,-5.2,1.9,4.2,-6.6,3.6,-3.5
Wrangell City and Borough,23.8,1.1,8.9,111.4,2.3,47.2,20.6,-3.7,0.9,-6.9,3.3,-6.3
Yakutat City and Borough,35.9,-17.4,-22.6,8,-2,-8.1,83.3,-28,-40.9,1.9,-5.1,-5.2
Yukon-Koyukuk Census Area,-12.3,-18.4,-1.4,-25.5,-73.7,-15.1,-7.4,-6.1,6.1,-7.1,1.7,-7.2
Apache,-8.1,-8,-3.3,-32.1,2.2,(D),-8.5,-10.8,(D),-4.6,-3.7,-1.7
Cochise,-2.5,-0.3,3.7,-5.1,-0.1,(D),2.5,6.5,(D),-6.4,-6.7,-1.4
Coconino,2.5,1.4,0.1,7.4,3.5,-0.9,1.7,1.8,0.6,2.1,-0.6,-0.7
Gila,15.6,-7.4,-2.4,31,-13.9,-8.5,4,1.1,4.2,-0.1,-3.8,0
Graham,1.1,1.1,-1.1,7.8,-1,-4.1,0.1,3.5,-0.7,-0.3,-1.9,-0.5
Greenlee,14.2,8.7,-16,15.6,9.5,(D),-4.4,-1.6,(D),1.5,-0.2,2.4
La Paz,6.1,-1.9,4,7.1,-32.6,-2.4,10.5,8.6,8.4,-1.6,-0.7,-1.8
Maricopa,1.2,1.8,2.7,-3.8,4,6.1,2.3,1.9,2.6,-0.2,-1.9,-1.1
Mohave,3.1,0.5,0.9,15.1,15.8,-12.2,2.3,-1.6,5,-3.8,-4.6,-3.3
Navajo,0.6,1.6,1.8,3.3,-0.4,-17.9,1.3,3.3,7.2,-3,-2,-2
Pima,-3.3,-1,0.7,-10.9,1.4,-5.6,-1.6,-1,3.4,-1.1,-2.6,-1.9
Pinal,0.3,0.2,0.9,-7.5,-3.5,-2.3,9.1,3.9,4.5,-3,-1.8,-2
Santa Cruz,-0.9,-3.2,6.2,-0.1,5.9,12.2,-0.1,-4.4,8.1,-2.7,-2.6,1.3
Yavapai,6.3,3.6,2.3,8,15.5,-1.6,7.7,1.5,4,-0.5,-1.4,0.3
Yuma,1.4,1.8,4.4,-0.2,7,13.8,5,2.8,3.3,-2.7,-2.7,0.4
Arkansas,10.7,-2.2,2.4,21.9,-4.9,3,2.3,0.7,2.8,-2.6,-0.5,-2.9
Ashley,4.1,2.4,-5.9,4.1,3.8,-8.3,5.9,0.2,-0.5,-3.8,-2.4,-3.5
Baxter,-1.3,2.8,-1.8,-3.7,5,-4.9,-0.3,2.7,-0.8,-2.8,-1.5,-2.2
Benton,8.5,5.4,1.3,14.1,5.7,0.9,8.1,5.8,1.6,1.8,-0.1,-1.9
Boone,-2.1,1.7,-2.7,-0.4,-0.6,-2,-3.4,3.5,-2.7,0.7,-1.9,-3.6
Bradley,-1.4,-1,2.2,2.1,-2.1,7.7,-3.2,-0.2,-0.6,-3.9,-0.6,-2.7
Calhoun,2.2,0.3,4.3,2.7,0.4,4.8,0.9,0.7,3.9,-0.6,-1.6,-1.3
Carroll,9,-3,-2.6,18.4,-4.2,-3.6,2.8,-2.8,-1.9,-3,2.2,-1.6
Chicot,4.7,-2.1,-4.5,29.4,-10,-3.8,-5.4,4.7,-5.9,-4.5,-3.8,-2.1
Clark,6.4,0,-5.1,17,-6.3,-10.2,5.5,4.2,-3.2,-5.3,-2.3,-3.4
Clay,7,-0.6,-4.8,33.3,-3,-10.4,-5.2,2.1,-1.1,-1.9,-3.2,-4.8
Cleburne,3.9,6.8,8.8,0.9,13.3,26.4,6.7,4.5,0.5,-1.8,-1.2,-0.7
Cleveland,6.1,11.2,4.7,(D),(D),(D),(D),(D),(D),-1.5,-5.3,-3.5
Columbia,0.6,4.8,-11.6,-0.4,8.2,-17.2,2.8,1.8,-7.2,-0.5,-2,0
Conway,9.4,8.1,-9.6,10.6,0.1,-9,10.6,17.4,-12.3,1.4,-1.1,0.6
Craighead,2.9,1.4,4.6,1,-3.3,-2,4.2,3.2,7.8,-0.3,-0.9,-1.8
Crawford,1.6,-0.6,-1.9,11.7,2.7,-8.6,-2.2,-2,1.8,-2.2,-2.3,-3.2
Crittenden,4.5,0.7,-2.3,41,7.1,-1.7,-3.6,-0.4,-2.5,-2.6,-5.8,-2.1
Cross,0.5,-2.5,-0.3,3.5,-10.5,-6.6,-0.5,1.3,3,-0.9,-3.1,-4
Dallas,2,-2,-2.1,-1,-6.3,-10.2,5.3,1.4,3.9,-3.7,-3.2,-4.5
Desha,4.6,-2.4,-3.9,10,-2.7,-8.7,1.9,-2.5,-0.7,-2.4,-1,-0.3
Drew,-2,1.5,0.9,4.1,-1.3,-1.1,-6,5,3.6,-0.9,-1.8,-2.2
Faulkner,-2.5,2.3,6.5,-3.7,3.2,14.4,-2.2,2.5,4.4,-0.9,-0.5,-1.2
Franklin,7.1,5.7,29.1,14.7,9.8,58.1,1.2,3.3,1.3,-1.7,-2.1,-1.9
Fulton,10.9,3.5,-2.3,(D),(D),0,(D),(D),-4.3,-1.3,-0.9,-0.8
Garland,-5.1,0.4,1.7,4.5,0,6.2,-7.3,1,1.5,-3,-3.3,-2.6
Grant,3.8,2.9,-1.1,13.5,4.6,0,-3.4,2,-1.4,-2.2,-0.1,-3.5
Greene,1,-2.5,5.3,7.1,1.9,8.7,-4.7,-7.4,3.1,0.3,-1.3,-1.1
Hempstead,13.7,-0.2,-7.7,-13.2,0.4,-4.6,46.3,0.5,-10.6,-0.2,-4.3,-3.5
Hot Spring,-3,-9.9,12.4,-13.9,-3.1,-0.3,1.6,-15.1,23.2,-0.6,0,-4.5
Howard,10,-4.2,-5.3,18,-5.6,-5.2,-1.2,-2,-6.8,-1.3,-1.1,-1.2
Independence,5.7,-2.8,-14.6,10,-6.9,-7.1,5.1,-1.2,-18.7,-1.5,-3.7,-2
Izard,-1.9,-0.2,-6.6,11.2,2.1,-12.2,-10,-0.4,-4.2,-1.4,-3.2,-3.3
Jackson,0.1,0.8,-6.9,8.9,6.6,-13.7,-6.6,-3.2,-2,-1.4,-2.3,-3.3
Jefferson,1.4,-4.4,-7.5,-0.6,-6.6,-13,5.1,-3.8,-7,-6,-3.4,-1.8
Johnson,6.2,-0.5,0.8,13.5,-4.7,-3,2.3,3.2,4.7,-0.3,-1,-2.7
Lafayette,14.7,4.6,33.4,(D),(D),(D),(D),(D),(D),-1.4,0,-6.3
Lawrence,4.9,2.4,-2.5,26.3,0.5,-7.2,-4.9,5.1,3.4,-3,-0.1,-8
Lee,14,0.5,-3.3,45.8,-2.9,-4.1,5.1,5.9,0.9,-4.6,-3.6,-10
Lincoln,10.9,-3.9,-4.7,34.2,-6.3,-8.5,0.3,-0.9,2.1,-2.3,-3.5,-6.6
Little River,-10.3,-9.5,-15.8,-14.5,-14,-26.7,-0.7,-1.6,1.5,-5.6,-2.9,-4.2
Logan,5.3,-1.5,5.6,9.8,-1.4,17.1,3.7,-1.2,-2.8,-2.8,-2.4,-5.1
Lonoke,5.7,0.1,-0.8,11.9,-4.3,-0.3,4.9,2.9,-0.7,-1.9,-1.5,-2
Madison,15.8,-1.9,-0.8,30.3,(D),(D),3.1,(D),(D),-2.6,-3.5,-4.9
Marion,-3,-0.1,24.6,-5.8,1.9,30.6,1.6,-2.5,22.5,-3.3,-3.1,-5
Miller,-8.7,-3.4,-3.6,-22,-11.6,-4.3,-1.1,0.2,-3.2,-3.8,-0.8,-4.1
Mississippi,-5.3,-5.9,-1.5,-8,-8.2,0.1,-2.3,-3.6,-2.4,-2.7,-3.9,-5.2
Monroe,2.3,-3.7,-0.7,36,-6.6,-6.7,-9.9,-2.3,3.1,-4,-2.8,-4.6
Montgomery,3.4,-1.9,-4.6,12.8,(D),(D),2.3,(D),(D),-2.8,-1.6,-6.5
Nevada,3,3.8,2.3,13.1,8.8,4.4,-5.9,-0.1,0.8,-1.2,-3.3,-2.1
Newton,7,2.1,-5.4,(D),(D),(D),(D),(D),(D),-1.6,-2,-4.1
Ouachita,1.7,6.7,-2.1,-3.4,6.4,-24.7,6.4,10.9,10,-2.3,-4.7,-5.4
Perry,2.2,-6.8,8.6,(D),(D),(D),(D),(D),(D),-6.8,-1.4,-2
Phillips,6.5,-3.2,-4.7,25.7,-5.2,-10.5,2.9,-2.5,-1.5,-3.6,-2.9,-8.5
Pike,6.4,-0.3,-2.9,19.8,-5.2,-6.2,2.6,2.7,-0.8,-0.8,-2.3,-5.1
Poinsett,2.3,1.9,0,22,0.3,3,-6.4,3.8,-0.8,-3.6,-1.4,-4.2
Polk,1.3,-1.9,-3.5,11.5,-6.6,-9.4,-4.1,1.6,0,-3.6,-1.4,-1.4
Pope,1.4,3.1,5.8,18.2,6.6,17.2,-3.6,2.6,2.5,-0.2,-1.4,-2.3
Prairie,10,1.8,-4.7,33.1,0.8,-15.3,-3,4.8,5.3,-5.4,-3.8,-5.5
Pulaski,2.2,0.2,1.9,15.2,1.8,-6,1,0.6,4.4,-0.2,-2.2,-2.6
Randolph,5.5,1,-2.5,14.9,1.2,-2.6,3,1.4,-2.6,1.2,-0.8,-2.1
St. Francis,2.8,-1.9,-0.5,21.8,-9.4,-7.6,-0.5,-0.1,1.9,-2.8,0.3,-0.6
Saline,2.3,-0.3,4.8,-5.7,-4.5,1.5,5.3,0.7,7.2,-0.7,-0.4,-1.6
Scott,15,-7.6,-6.8,24.1,-11.4,-10.6,-1.3,-2.9,-2.6,21.5,-3.6,-3.2
Searcy,-3.6,-4.6,-8.8,-6.6,-3.1,-24.6,-1.2,-5.4,-1.1,-4.7,-5.1,-4.7
Sebastian,0,1,-4.6,1,1.3,-9.7,-0.1,1.3,-2.7,-2.3,-2.1,-2.3
Sevier,9.5,-2.1,-3.2,24.5,-7.4,-7.3,2.5,2.7,0.1,-2.8,-1.5,-2.7
Sharp,2.2,-1.7,-1.6,19.4,-4.6,-2.3,-1.2,-0.2,-1.2,-1.2,-3.9,-2.7
Stone,2.3,4,4.6,16.7,0.5,2.6,-1.2,6.9,7.1,-2.7,-0.9,-2
Union,9.8,7.4,-21.1,29.7,14.6,-40.1,-10.2,-2.5,6.1,-2.3,-1,-3.1
Van Buren,6.6,18.8,58.4,14.8,44.6,151.4,2.4,1,-3.8,-1.9,3.9,-6.6
Washington,4.1,0.5,4.4,8.8,2.4,3.1,3.2,-0.1,5.8,3.3,0.9,-0.7
White,-4.1,0.6,2.5,-10.1,3.4,14.7,-1.4,-0.2,-3,-0.6,-2.4,-1.5
Woodruff,1.4,-4.3,-1.6,2.1,-11,-2.6,3.5,-1.1,1.3,-5.5,0.3,-8
Yell,16.2,-13.7,-5,18.8,-5.5,-10,20.7,-26.1,0.4,-0.9,-0.2,-3.3
Alameda,4.1,4.7,3.8,7.1,2.2,10.7,3.7,5.5,2.3,2.7,3.6,3
Alpine,-11.8,0.5,21,-15.4,(D),(D),-16.7,(D),(D),6.6,-1,1.8
Amador,4.5,-0.4,6.5,10.9,0,0.2,7.1,-0.5,9.5,-3.2,-0.3,5.4
Butte,3.9,-0.2,6.1,10.8,6.7,6.1,3.3,-2.5,6.1,-0.4,1.7,6
Calaveras,1.9,-5.9,4.7,3.1,-5.9,-1.2,2,-8.2,6.2,1.2,-0.7,5
Colusa,2.5,2.7,14.7,6.8,6.2,2.6,0.2,1.1,24.8,1.7,0.9,1.1
Contra Costa,2.4,8.5,5.9,-2.3,17.9,-0.8,4.9,5.4,9.2,0.7,1.2,2
Del Norte,-1.4,-2.4,4.6,4.8,-12.2,-5.1,-0.6,-1.7,7,-3.6,-0.8,4.3
El Dorado,0.6,6,5.3,1.6,0.7,9.1,0,7.4,5.3,2.9,3.9,2.2
Fresno,6.1,4,5.5,9,10.9,10.1,6.5,1.7,4.2,0.3,2.6,3.5
Glenn,8.6,8,6.6,11.3,16.1,10.2,10.3,3.2,3.2,-0.4,-1,5.4
Humboldt,1.7,1,2,1.4,-2.3,2.5,2.5,1.7,1.6,0.1,1.2,2.7
Imperial,3.6,6.9,5.4,0.6,8.8,9.5,8.4,10.3,4.9,-0.9,-0.2,3
Inyo,-3.8,-2.2,0.2,-8.7,-6.6,-8.2,-4,-1.9,3,0.1,0.1,-0.4
Kern,2.1,5,3.2,0,7,4.1,5.1,4.6,2.4,-1.7,1.3,3.4
Kings,1.4,7.4,3.4,6.4,16,11.4,0.7,3.8,3.2,-2.1,2.9,-3
Lake,2.3,1.9,3.1,1.4,7,4.9,2.4,0.9,2.2,2.3,1.8,4.6
Lassen,-0.4,2.8,4.7,17.6,23.2,19.6,3.1,1.7,4.3,-5.9,-1.9,0.7
Los Angeles,2.1,4,4.1,3.6,0,2,2.1,4.8,4.5,0.2,2.8,3
Madera,3.6,8.6,6.5,6.6,10.6,4.5,3.1,9.5,11.4,-1.1,2.2,-2.7
Marin,1.2,6.9,1.5,8,17.2,15.2,0.7,6.7,0.1,0.5,1.4,4
Mariposa,-3.5,-0.3,1.2,2,4.6,-0.9,-3.5,-1.3,0.6,-4.7,0.1,2.5
Mendocino,1.7,0.3,3.1,2.8,-1.9,-0.4,2,0.7,4.6,-0.2,1.4,2.4
Merced,5.8,9.2,1.5,13,13.1,8.1,1.4,7.6,-8.2,0.7,4.1,8.1
Modoc,2.9,3.5,2.8,13.4,4.4,2.8,2.1,6.3,10.2,-2.5,0.6,-3.6
Mono,1.9,-0.3,-2.2,-6.5,-4,0.7,4,0.8,-2.6,-0.4,-1.6,-1.9
Monterey,-0.2,1.7,3.1,-3.9,8.5,4.4,2.3,-0.5,2.9,-2.1,-0.6,2.2
Napa,-0.7,4.4,5,-1.1,6.1,4.8,-1.3,3.9,5.1,2.8,1.6,5.2
Nevada,0,5.8,-8.3,-4.1,1.4,-1.3,0.1,8.2,-12.4,5.6,0,3.6
Orange,1.6,3.1,7.5,4.3,1.6,4.3,1.2,3.6,8.5,0.3,1.4,3.4
Placer,5.5,4.6,7.2,7.7,8.7,10,5.9,4.2,7,-0.6,3.1,4
Plumas,4.9,-10.7,-0.7,2.3,-6.4,2.1,8.7,-16.6,-3.4,-2.3,1.7,3.4
Riverside,4.5,1.8,2,5.4,3,1.6,4.9,1,1.6,2.1,3.4,3.9
Sacramento,3.2,3.5,3,7,2.7,6.8,3.2,3.8,3.6,2.2,3,0.7
San Benito,1.4,2,6.8,-2.3,1.8,8.7,5.2,0.7,5.5,0.7,6.3,5.6
San Bernardino,2.1,3.5,3.4,1.7,2.7,7.7,3,4.4,2.9,-0.6,1,2.3
San Diego,2.3,1.3,1.4,10.3,1.5,4.2,2,1.4,0.9,-1.2,0.7,1.2
San Francisco,5.9,5.9,6.6,7.1,11.5,7.7,6.2,6.3,7.1,2.7,0.6,2.2
San Joaquin,3.4,3.2,7.9,6.7,7.1,9.9,3.3,2.2,6.5,-0.3,2.6,10.9
San Luis Obispo,6.6,0.9,6.4,7.4,4.8,4.9,7.8,0.2,7.4,-0.4,0.9,2.9
San Mateo,13.6,0,6,31.7,1.1,1.9,11.2,-0.3,6.8,0.9,2.4,6.2
Santa Barbara,2,2.7,4.7,3.1,5.9,12.3,2,1.7,3.2,0.8,2.6,1.6
Santa Clara,8.1,8.6,11.1,6.2,7.2,10.6,9.4,9.5,11.8,1.5,3.2,3
Santa Cruz,5.6,2.7,2,9.6,-0.9,-8.8,4.9,3.9,6.6,1.9,4,1.1
Shasta,0.8,0.1,2.9,4,0.8,5.1,0.5,-0.9,2.6,-0.1,3.8,2.6
Sierra,-9.5,4,1.6,-2.2,(D),(D),-12.4,(D),(D),-9.4,-0.9,5.2
Siskiyou,3.3,6.1,7.4,11.3,7.5,3.8,3.2,7.6,8.6,-1.1,2,7
Solano,0.3,-0.3,-2.4,5.1,0.2,-1.5,-2.5,-0.9,-3.9,-0.3,0.5,-0.2
Sonoma,2.9,3.2,6.3,4.5,1.3,5.2,2.7,3.7,7.1,1.6,3.8,3.5
Stanislaus,1.6,4.4,5.7,-0.6,8.3,10.8,2.9,3,3.1,1.3,2.2,5.5
Sutter,2.3,6.3,3.5,8.2,10.5,10.6,0.2,5.6,1.4,3.8,3,2.1
Tehama,6.5,3.9,4.7,15.3,5.4,9,2.6,4,3.1,6.6,1.6,3.3
Trinity,0.5,-8.4,-3.7,11.4,-7.9,4.1,-0.1,-12.3,-3.8,-2.2,-3,-6.5
Tulare,0.7,3.7,7.2,4.6,7.9,6.4,-2.6,1.6,9.5,1.3,0.4,3.4
Tuolumne,3.6,-5,6.3,1.5,-5.4,4.4,5.1,-8.7,8.6,0.1,6.6,1.1
Ventura,3,2,1.4,6.7,0.9,0.4,1.5,2.8,1.7,-1.2,1.3,3.3
Yolo,4.8,6,5.7,4.3,10,10,5.6,5.8,6,3.8,4.5,3.4
Yuba,1.8,-2.5,-2.7,11.6,4.6,13.9,-3.7,-10.5,-3.6,3.5,1,-5.4
Adams,1,6,1.6,9,21.6,1.2,-1.5,1.8,0.8,1.7,3.7,5.1
